segmentNumber,size_sd,size_mean,size_p25,size_p50,size_p75,vol_min,vol_max,vol_p25,vol_p50,vol_p75,img_used,img_cnt,dataset,Id,series,series_idx,series_cnt,in_series_cnt,in_series_rank
9,186.258428799479,510.266666666667,342.25,567.5,600,2723.02680853494,24912.8576642665,6334.79940753178,13519.2300832613,14697.1223734512,30,30,train,1,sax_10,1,16,1,1
7,196.613045485727,543,354.25,625.5,643.75,2870.95942151748,28865.8556256349,6670.64797304235,15643.7874860204,16333.3751341678,30,30,train,1,sax_11,2,16,1,1
8,141.45279054873,348.266666666667,210.25,393,440.5,940.60406122874,13896.062463878,3050.01720174698,7790.92144742841,9245.59011505852,30,30,train,1,sax_13,4,16,2,1
17,103.580433257668,305.115384615385,239.5,328.5,390.75,1060.5960588273,10352.3849909091,3707.91417540535,5958.89240347784,7724.19955440631,26,30,train,1,sax_13,4,16,2,2
7,127.705772648757,271.833333333333,150,313.5,361.75,311.987179223762,10516.2731040992,1839.3892543136,5550.85708780886,6880.47862556089,30,30,train,1,sax_14,5,16,2,1
8,115.412076354345,456.5,471.5,498,519.5,3064.95203877646,14440.4936549967,10247.710909958,11113.3417791579,11840.7382371316,20,30,train,1,sax_14,5,16,2,2
10,512.037732697389,709.529411764706,145,628,1275,140.296115413079,50431.1622412175,1746.03121392488,15737.6348921939,45526.6062319607,17,30,train,1,sax_17,8,16,1,1
17,185.037564523802,560.148148148148,367.5,656,679,3834.85658141214,24825.2905521768,7049.19460581906,16801.7979990238,17694.8710730868,27,30,train,1,sax_57,12,16,2,1
24,137.637427825652,503.692307692308,553.5,567,579,2577.72612975079,14770.4843522479,13022.2608408862,13501.2689403626,13932.1872835493,26,30,train,1,sax_57,12,16,2,2
7,167.410423809272,604.625,577,632,675.5,89.4427190999916,20951.7541031771,13860.0156204818,15888.4723015131,17556.7738068426,16,30,train,10,sax_10,1,10,1,1
10,183.38060728015,535.033333333333,341,608.5,625.75,3218.73142713088,24041.8289029766,6301.86192299294,15010.3861033056,15653.2037530775,30,30,train,10,sax_11,2,10,1,1
7,147.416530054582,352.233333333333,197.25,385.5,443,1465.15835321647,17615.0144195229,2774.4529573083,7568.97110948908,9328.43097868869,30,30,train,10,sax_12,3,10,1,1
7,76.7332271072479,308.478260869565,240,326,367.5,2765.02676298079,8978.95138643706,3718.45131741821,5886.0832477973,7045.67314017164,23,30,train,10,sax_5,6,10,1,1
9,71.9668727209316,303.333333333333,246,278,363,3420.0998523435,9229.51786389733,3858.95698037757,4635.18629614819,6920.50788647217,27,30,train,10,sax_6,7,10,2,1
23,278.645533488935,481,543,562,613,46.8721665810319,25088.2999224738,12653.1816947359,13323.0750204298,15177.1669622496,13,30,train,10,sax_6,7,10,2,2
18,405.084132030605,394.533333333333,78,97.5,910.5,189.570567335755,29512.4359380923,688.877347573572,963.504512242638,27474.1086906709,30,30,train,200,sax_43,3,9,1,1
29,171.88326721894,402.62962962963,226,429,506.5,2455.31423650823,19885.8468263235,3408.53151420529,8885.58321102222,11399.0677072194,27,30,train,200,sax_45,5,9,1,1
9,189.622013322578,371.714285714286,170.5,424.5,486,1015.03743773321,19038.5686699395,2232.65038899608,8761.98646143887,10714.0681349336,28,30,train,200,sax_46,6,9,1,1
19,168.92056326912,314.814814814815,136.5,343,451.5,715.541752799933,14040.5615272324,1597.67101309103,6352.44889786608,9593.82130839803,27,30,train,200,sax_47,7,9,1,1
7,172.446523445026,496.7,334.5,581,605.75,3218.73142713088,20662.9566374224,6121.2195025076,14004.4522922235,14908.7837757863,30,30,train,30,sax_10,1,11,1,1
5,190.174100512523,473.866666666667,283,577,590.5,2315.03239718152,20662.9566374224,4762.45912148273,13860.031231939,14349.2830787896,30,30,train,30,sax_11,2,11,2,1
8,172.122196635741,294.133333333333,169,308,406.75,70.0927956355002,16115.0262798421,2197.34480920622,5405.57037224666,8203.63482665606,30,30,train,30,sax_11,2,11,2,2
3,185.321246401529,477.633333333333,274.5,579.5,603,2435.10595252034,19400.1816486341,4561.96860459653,13950.3820406397,14807.3490032395,30,30,train,30,sax_12,3,11,2,1
6,157.047896091182,306.291666666667,204.5,321,412.25,189.570567335755,14040.5615272324,2926.02659160187,5752.88324085081,8370.30293517408,24,30,train,30,sax_12,3,11,2,2
4,171.134335887163,418.266666666667,223.5,521,532.5,1621.13293717696,15812.874501494,3352.86004007893,11892.062552407,12287.9617003905,30,30,train,30,sax_13,4,11,2,1
7,119.251337679967,168.192307692308,52.5,164.5,215,52.3832034148352,8761.59945443753,403.190401671468,2110.72126581147,3153.21262521014,26,30,train,30,sax_13,4,11,2,2
